### SYSTEM         = Linux ubuntu 4.15.0-20-generic #21-Ubuntu SMP Tue Apr 24 06:16:15 UTC 2018 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 7G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL
### NCORES         = 1,2,3,4
### CORE_SEQ       = 0,1,2,3


### MODEL_NAME     = Intel Core Processor (Skylake, IBRS)
### PHYSICAL_CHIPS = 4
### CORE_PER_CHIP  = 1
### SMT_LEVEL      = 1


## ssd:ext4:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000026 72429390.000000 2414310.927716 30.0698 11.98 0 106.01 0.18 0.01 0 0 2.1 0 9.96009 0 88.136 0.149651 0.00831393 0 0 1.74593 0

## ssd:ext4_no_jnl:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000006 94776639.000000 3159220.720810 30.0684 14.95 0 102.74 0.17 0 0 0 2.42 0 12.4293 0 85.4174 0.141337 0 0 0 2.01197 0

## ssd:xfs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000002 41141045.000000 1371368.086670 30.0736 7.78 0 109.8 0.18 0 0 0 2.53 0 6.4677 0 91.2794 0.149638 0 0 0 2.10325 0

## ssd:btrfs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000009 31413591.000000 1047119.377138 30.0711 5.18 0 112.68 0.17 0 0 0 2.24 0 4.30698 0 93.6892 0.141349 0 0 0 1.86248 0

## ssd:f2fs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000001 75788602.000000 2526286.628071 30.0706 12.87 0 105.27 0.17 0 0 0 1.99 0 10.6983 0 87.5062 0.141313 0 0 0 1.6542 0

## ssd:ext4:DWOL:3:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

3 30.003290 59666683.000000 1988671.342376 30.071 10.18 0 79.87 0.12 0.01 0 0 0.05 0 11.2823 0 88.5182 0.132993 0.0110828 0 0 0.0554139 0

## ssd:ext4_no_jnl:DWOL:3:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

3 30.000009 82230569.000000 2741018.113905 30.067 12.58 0 77.49 0.11 0 0 0 0.03 0 13.9452 0 85.8996 0.121938 0 0 0 0.0332557 0

## ssd:xfs:DWOL:3:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

