### SYSTEM         = Linux ubuntu 4.4.0-87-generic #110-Ubuntu SMP Tue Jul 18 12:55:35 UTC 2017 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 7G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL
### NCORES         = 1,2,3,4
### CORE_SEQ       = 0,1,2,3


### MODEL_NAME     = Intel Xeon E312xx (Sandy Bridge, IBRS update)
### PHYSICAL_CHIPS = 4
### CORE_PER_CHIP  = 1
### SMT_LEVEL      = 1


## hdd:ext4:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.001524 42788182.000000 1426200.282359 30.1558 0.8 0 19.07 0.23 0.05 0 0.04 92.2 0 0.711807 0 16.9677 0.204645 0.0444879 0 0.0355904 82.0358 0

## hdd:ext4_no_jnl:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.001272 55852872.000000 1861683.480134 30.175 0.97 0 19.19 0.25 0.03 0 0.1 92.17 0 0.860616 0 17.026 0.221808 0.026617 0 0.0887233 81.7762 0

## hdd:xfs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.001098 26133709.000000 871091.744116 30.1893 0.72 0 19.21 0.27 0.01 0 0.04 92.25 0 0.64 0 17.0756 0.24 0.00888889 0 0.0355556 82 0

## hdd:btrfs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.002175 15360666.000000 511985.081082 30.1473 0.44 0 19.03 0.21 0.01 0 0.06 92.12 0 0.393314 0 17.0108 0.187718 0.00893895 0 0.0536337 82.3456 0

## hdd:f2fs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.002918 48355631.000000 1611697.575354 30.1286 0.73 0 19.06 0.21 0.09 0 0.04 92.05 0 0.65074 0 16.9906 0.187199 0.0802282 0 0.035657 82.0556 0

## hdd:ext4:DWOL:3:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

3 29.999795 44322723.000000 1477434.212216 30.1134 0.83 0 21.57 0.12 0.02 0 0.11 62 0 0.980508 0 25.4814 0.14176 0.0236267 0 0.129947 73.2428 0

## hdd:ext4_no_jnl:DWOL:3:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

3 29.999452 56386174.000000 1879573.487760 30.1217 0.92 0 21.82 0.12 0.01 0 0.08 62.03 0 1.08261 0 25.6766 0.14121 0.0117675 0 0.0941398 72.9936 0

## hdd:xfs:DWOL:3:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

3 30.001921 24508044.000000 816882.483215 30.1562 0.69 0 21.18 0.14 0.01 0 0.1 62.28 0 0.817536 0 25.0948 0.165877 0.0118483 0 0.118483 73.7915 0

## hdd:btrfs:DWOL:3:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

3 30.001380 16676465.000000 555856.603439 30.1403 0.41 0 22.34 0.13 0.01 0 0.1 62.08 0 0.481956 0 26.2607 0.152815 0.011755 0 0.11755 72.9752 0

