### SYSTEM         = Linux ubuntu 4.4.0-87-generic #110-Ubuntu SMP Tue Jul 18 12:55:35 UTC 2017 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 7G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL
### NCORES         = 1,2,3,4
### CORE_SEQ       = 0,1,2,3


### MODEL_NAME     = Intel Xeon E312xx (Sandy Bridge, IBRS update)
### PHYSICAL_CHIPS = 4
### CORE_PER_CHIP  = 1
### SMT_LEVEL      = 1


## hdd:ext4:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000021 100498217.000000 3349938.193794 30.0793 3.09 0 112.11 0.15 0.04 0 0.01 4.69 0 2.57307 0 93.355 0.124906 0.0333084 0 0.00832709 3.9054 0

## hdd:ext4_no_jnl:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000100 142672726.000000 4755741.641230 30.0786 4.18 0 110.97 0.15 0.02 0 0 4.7 0 3.48275 0 92.4596 0.124979 0.0166639 0 0 3.91601 0

## hdd:xfs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000016 61008322.000000 2033609.631795 30.0803 2.65 0 112.26 0.16 0.01 0 0.01 5.06 0 2.20558 0 93.4332 0.133167 0.00832293 0 0.00832293 4.2114 0

## hdd:btrfs:DWOL:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.000012 41792572.000000 1393085.187708 30.0861 2.09 0 112.82 0.18 0.01 0 0 4.95 0 1.74094 0 93.9775 0.149938 0.00832986 0 0 4.12328 0

## hdd:f2fs:DWOL:4:bufferedio
