### SYSTEM         = Linux ubuntu 4.15.0-20-generic #21-Ubuntu SMP Tue Apr 24 06:16:15 UTC 2018 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 7G
### DURATION       = 30s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = ext4,ext4_no_jnl,xfs,btrfs,f2fs
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL
### NCORES         = 1,2,3,4
### CORE_SEQ       = 0,1,2,3


### MODEL_NAME     = Intel Core Processor (Skylake, IBRS)
### PHYSICAL_CHIPS = 4
### CORE_PER_CHIP  = 1
### SMT_LEVEL      = 1


## ssd:ext4:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.007430 9071.000000 302.291804 30.1035 0.13 0 0.86 0.26 118.15 0 0 0.33 0 0.108578 0 0.718283 0.217155 98.6804 0 0 0.27562 0

## ssd:ext4_no_jnl:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.009597 9333.000000 311.000508 30.1016 0.15 0 0.73 0.24 118.26 0 0 0.3 0 0.125334 0 0.60996 0.200535 98.8135 0 0 0.250668 0

## ssd:xfs:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.004196 9563.000000 318.722093 30.1035 0.16 0 0.63 0.25 118.32 0 0 0.27 0 0.133746 0 0.526624 0.208978 98.905 0 0 0.225696 0

## ssd:btrfs:DWOL:4:directio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 30.016022 7976.000000 265.724752 30.1168 0.14 0 1.45 0.65 117.09 0 0 0.26 0 0.117067 0 1.21248 0.543524 97.9095 0 0 0.217409 0

## ssd:f2fs:DWOL:4:directio
